Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,"reno, nevada",cascade range,,lassen peak,"susanville, california, 
 (approaching from the east)
 red bluff or redding,, 
 california , 
 (approaching from the west)",walk up,United States,,,1220,3187.0,10457 ft/3187 m,,california,-121.504,active,10457.0,40.4878,north america
alberta/british columbia,calgary,canadian rockies,1897.0,"victoria, mount",lake louise,technical climb,Canada,,"jul, aug",753,3464.0,11365 ft/3464 m,"collie, fay, michael, sarbach",,-116.307106,,11365.0,51.376924,north america
,valencia,coastal venezuela,,cerro platillón,san juan de los morros,walk up,Venezuela,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3782,1930.0,6332 ft/1930 m,,,-67.515578,,6332.0,9.870691,south america
,asheville,blue ridge mountains,,"jefferson, mount",west jefferson,walk up,United States,,"may, jun, jul, aug, sep, oct",751,1427.0,4683 ft/1427 m,,north carolina,-81.4633,,4683.0,36.4031,north america
,atlanta,blue ridge mountains,,brasstown bald,blairsville,walk up,United States,,"may, jun, jul, aug, sep, oct",750,1458.0,4784 ft/1458 m,,georgia,-83.8099,,4784.0,34.8723,north america
,graz,,,admonter kalbling,liezen,walk up,Austria,,"jun, jul, aug, sep, oct",757,2196.0,7205 ft/2196 m,,,14.5167,,7205.0,47.5333,europe
,palm springs,central and southern california ranges,,"san jacinto peak, mount",palm springs,walk up,United States,,"jun, jul, aug",756,3293.0,10804 ft/3293 m,,california,-116.678,,10804.0,33.8144,north america
,morgantown,,,backbone mountain,oakland,walk up,United States,,"feb, sep, oct, nov",755,1024.0,3360 ft/1024 m,hoye,maryland,-79.4833,,3360.0,39.2333,north america
alberta,calgary,canadian rockies,1897.0,"lefroy, mount",lake louise,technical climb,Canada,,"jul, aug",754,3420.0,11220 ft/3420 m,"dixon, fay, sarbach, vanderlip, noyes, thompson, parker, collie",,-116.278439,,11220.0,51.36176,north america
,graz,,,riffel,liezen,walk up,Austria,,"jun, jul, aug, sep, oct",759,2106.0,6909 ft/2106 m,,,14.5,,6909.0,47.55,europe
,graz,,,sparafeld,liezen,walk up,Austria,,"jun, jul, aug, sep, oct",758,2247.0,7372 ft/2247 m,,,14.5167,,7372.0,47.55,europe
,,sangre de cristo range,,north truchas peak,"cowles, nm",walk up,United States,,"jun, jul, aug, sep",1805,3970.0,13024 ft/3970 m,,new mexico,-105.617,,13024.0,35.9667,north america
,"anchorage, alaska",aleutian range,,"katmai, mount","king salmon, alaska",basic snow/ice climb,United States,,"jun, aug",1032,2047.0,6715 ft/2047 m,,alaska,-154.952,active,6715.0,58.2794,north america
,exeter,,,yes tor,not nessescary but if you want to climb the rock try exeter,walk up,United Kingdom,,"feb, mar, may, jun, jul, dec",3072,610.0,2001 ft/610 m,,,-4.0,,2001.0,50.41,europe
,geneva,savoy alps,1898.0,aiguille sans nom,"chamonix, argentiere",technical climb,France,,"jan, feb, jul, aug",1596,3982.0,13064 ft/3982 m,"abruzzi, petigax, croux, simond",,,,13064.0,,europe
,seattle-tacoma,cascade range,,fortress mountain,leavenworth,scramble,United States,,"jul, aug, sep",3074,2670.0,8760 ft/2670 m,,washington,-120.933466,,8760.0,48.159587,north america
,seattle-tacoma,cascade range,1963.0,"buckindy, mount",darrington,scramble,United States,,"jul, aug, sep",3075,2231.0,7320 ft/2231 m,"james carlson, kenneth carpenter",washington,-121.206408,,7320.0,48.351629,north america
,seattle-tacoma,cascade range,1920.0,kyes peak,everett,scramble,United States,,"jul, aug, sep",3076,2219.0,7280 ft/2219 m,"jales ellsworrth kyes, reginald bachelder",washington,-121.333737,,7280.0,47.964813,north america
,inverness / aberdeen,scottish highlands,,quinag,lochinver / ullapool,walk up,United Kingdom,,,1592,808.0,2651 ft/808 m,,,-5.04912,,2651.0,58.2153,europe
,seattle-tacoma,cascade range,1904.0,davis peak,marblemount,technical climb,United States,,"jul, aug, sep",3078,2149.0,7051 ft/2149 m,"david ledgerwood, walter reaburn",washington,-121.202888,,7051.0,48.729389,north america
,merida,,,pico la conchita,merida,technical climb,Venezuela,,"jan, feb, dec",1803,4599.0,15088 ft/4599 m,,,,,15088.0,,south america
,pitkin county airport,elk range area,,hunter peak,"aspen, colorado",scramble,United States,,"jul, aug, sep",2956,4114.0,13497 ft/4114 m,,colorado,-106.904,,13497.0,39.053,north america
,seattle-tacoma,cascade range,,tolmie peak,tacoma,walk up,United States,,"jul, aug, sep, oct",2957,1810.0,5939 ft/1810 m,,washington,-121.877389,,5939.0,46.958025,north america
,venice,carnic alps,,cima preti,longarone,,Italy,,"jul, aug, sep, oct",1599,2703.0,8868 ft/2703 m,,,12.3333,,8868.0,46.3333,europe
,sea-tac,cascade range,1966.0,mesahchie peak,marblemount,scramble,United States,,"jul, aug",1598,2681.0,8795 ft/2681 m,"joseph firey, joan firey, john and irene meuleman",washington,-120.880508,,8795.0,48.578453,north america
,valencia,coastal venezuela,,topo yagrumal,nirgua,walk up,Venezuela,,"jan, feb, mar, nov, dec",3787,1700.0,5577 ft/1700 m,,,-68.616056,,5577.0,9.959974,south america
,"sea-tac international airport, seattle, wa",cascade range,,shriner peak,"paradise resort, mt. rainier national park",walk up,United States,,"aug, sep, oct",1025,1768.0,5834 ft/1768 m,,washington,-121.530547,,5834.0,46.813571,north america
,ioannina,greek-albanian ranges,,smolikas,sanmarina,scramble,Greece,,"may, jun, jul, aug, sep, oct",1024,2637.0,8651 ft/2637 m,,,20.924738,,8651.0,40.088869,europe
,"kota kinabalu, borneo",borneo,1858.0,"kinabalu, mount","kota kinabalu, borneo",scramble,Malaysia,,"jun, jul, aug, sep, oct",1027,4102.0,13455 ft/4102 m,h. low and spencer,,116.55,,13455.0,6.08333,asia
,geneva,,1880.0,petite dent de veisivi,les haudères,technical climb,Switzerland,,"jun, jul, aug, sep",1026,3184.0,10446 ft/3184 m,,,,,10446.0,,europe
,seattle,cascade range,1940.0,forbidden peak,"marblemount, wa",technical climb,United States,,"jun, jul, aug",1021,2687.0,8815 ft/2687 m,"l. anderson, f. beckey, h, beckey, j. crooks, d. lind",washington,-121.058478,,8815.0,48.511601,north america
,barquisimeto,cordillera de merida,,pico cendé,carache,scramble,Venezuela,,"jan, nov, dec",3784,3570.0,11713 ft/3570 m,,,-70.11333,,11713.0,9.527623,south america
,"asheville, nc (avl)",blue ridge mountains,1966.0,looking glass rock,"pisgah forrest, nc",walk up,United States,,"mar, apr, may, jun, sep, oct, nov",1023,1210.0,3969 ft/1210 m,"steve longnecker, et al (by technical route-- the nose)",north carolina,-82.7936,,3969.0,35.3036,north america
,washington dulles,blue ridge mountains,,kennedy peak,luray,walk up,United States,,"mar, apr, may, jun, jul, aug, sep, oct, nov",1022,780.0,2560 ft/780 m,,virginia,-78.4833,,2560.0,38.7333,north america
,"beirut, lebanon",,,"hermon, mount","beirut, lebanon",walk up,Lebanon,,apr,1036,2814.0,9232 ft/2814 m,,,35.8572,,9232.0,33.4106,asia
,mérida,cordillera de merida,1946.0,el león,mérida,scramble,Venezuela,,"jan, mar, dec",3785,1457.0,4780 ft/1457 m,hugo matteus & baltazar trujillo,,-71.101069,,4780.0,8.510912,south america
,lhasa (tibet),central nepal himalaya,1921.0,kartse,"kharta(?), tingri",basic snow/ice climb,China,,"apr, may, sep, oct",1029,6507.0,21348 ft/6507 m,george mallory and other members of the 1921 british everest reconnaissance expedition,,87.0,,21348.0,28.0167,asia
,nil,,1963.0,mawson peak,nil,major mountain expedition,Australia,,"jan, feb, sep, oct, nov, dec",1028,2745.0,9006 ft/2745 m,,,73.521881,,9006.0,-53.098147,australia/oceania
,deer lake,canadian appalachians,,gros morne,rocky harbour,walk up,Canada,,"jun, jul, aug, sep",1034,807.0,2648 ft/807 m,,,-57.7833,,2648.0,49.5833,north america
,glasgow,scottish highlands,,binnein mor,fort william,walk up,United Kingdom,,,501,1130.0,3707 ft/1130 m,,,-4.92685,,3707.0,56.7541,europe
,lake tahoe,sierra nevada,,pyramid peak,lake tahoe,scramble,United States,,"may, jun, jul, aug, sep",3951,3043.0,9983 ft/3043 m,,california,-120.15781,,9983.0,38.84502,north america
,torino,cottian alps,1885.0,punta ciatagnera,cesana torinese,walk up,Italy,,"jul, aug, sep",4365,3294.0,10807 ft/3294 m,g.piolti-o.alliaud,,6.861679,,10807.0,44.904092,europe
,torino,cottian alps,,roc del boucher,cesana torinese,walk up,Italy,,"jul, aug, sep",4364,3285.0,10778 ft/3285 m,hunters and cartographers,,6.864623,,10778.0,44.906892,europe
,vilnius,,,juozapine,vilnius,walk up,Lithuania,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",607,294.0,963 ft/294 m,"the local

 ancients",,25.5667,,963.0,54.4667,europe
,denver,sawatch range,,"belford, mount",buena vista or leadville,walk up,United States,,"may, jun, jul, aug, sep",606,4327.0,14197 ft/4327 m,,colorado,-106.361,,14197.0,38.9606,north america
,malpensa,,,punta del sabbione,formazza,basic snow/ice climb,Italy,,"may, jun, jul, aug",4361,3182.0,10440 ft/3182 m,,,8.18,,10440.0,46.24,europe
,munich,,,ammergauer hochplatte,,walk up,Germany,,"jun, jul, aug, sep, oct",600,2082.0,6831 ft/2082 m,,,10.8333,,6831.0,47.55,europe
,tokyo,honshu,,kai-komagatake,kofu,walk up,Japan,,"jul, aug, sep, oct",603,2967.0,9731 ft/2967 m,,,138.237,,9731.0,35.7581,asia
,torino,,1877.0,punta della valletta,aosta,walk up,Italy,,"jun, jul, aug, sep",4362,3090.0,10138 ft/3090 m,p.l.guignard,,7.339335,,10138.0,45.658282,europe
,newcastle,,,the cheviot,wooler,walk up,United Kingdom,,"jan, feb, jun, jul, aug, dec",1205,815.0,2674 ft/815 m,shepherds romans picts,,-2.145556,,2674.0,55.478333,europe
,manchester,,,cross fell,alston,walk up,United Kingdom,,"jan, feb, apr, may, jun, jul, aug",1204,885.0,2902 ft/885 m,shepherds miners romans,,-2.487222,,2902.0,54.702778,europe
,chambery,north france-west rhine area,,"colombier, mount",chambery,scramble,France,,"may, jun, jul, aug",1207,2043.0,6703 ft/2043 m,,,6.119127,,6703.0,45.644408,europe
,glasgow,scottish highlands,,ben more,tobermory,walk up,United Kingdom,,"apr, may, jun, jul, aug",1206,965.0,3166 ft/965 m,,,-6.013333,,3166.0,56.424732,europe
,pamplona,pyrenees,,petrechema,isaba,walk up,Spain,,"mar, apr, may, jun, jul, aug, sep, oct",1201,2361.0,7746 ft/2361 m,,,-0.734024,,7746.0,42.881751,europe
,el alto,bolivian andes,,jankho huyo,la paz,basic snow/ice climb,Bolivia,,"jun, jul, aug",4368,5512.0,18084 ft/5512 m,,,-68.323589,,18084.0,-16.051062,south america
,edinburgh,scottish highlands,,scald law,edinburgh,walk up,United Kingdom,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1203,579.0,1899 ft/579 m,,,-3.29,,1899.0,55.835833,europe
,edinburgh,scottish highlands,,allermuir hill,edinburgh,walk up,United Kingdom,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1202,503.0,1650 ft/503 m,cave men,,,,1650.0,,europe
,seattle,cascade range,,goose bump,leavenworth,scramble,United States,,"jun, jul, aug, sep, oct",633,2249.0,7377 ft/2249 m,,washington,,,7377.0,,north america
,seattle,cascade range,,painters thumb,leavenworth,walk up,United States,,"jun, jul, aug, sep, oct",634,2056.0,6744 ft/2056 m,,washington,-120.851111,,6744.0,47.675184,north america
british columbia,vancouver or victoria,british columbia coast ranges,,golden hinde,campbell river,scramble,Canada,,"jul, aug, sep",935,2195.0,7201 ft/2195 m,,,-125.746944,,7201.0,49.662778,north america
,new bacolod-silay airport,,,marapara south peak,,scramble,Philippines,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4279,1490.0,4888 ft/1490 m,,,123.17859,dormant,4888.0,10.660758,asia
,seattle,cascade range,,little tumy,leavenworth,walk up,United States,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",635,1024.0,3360 ft/1024 m,,washington,,,3360.0,,north america
,,snowdonia,,garnedd uchaf,,walk up,United Kingdom,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3696,926.0,3038 ft/926 m,,,-3.965578,,3038.0,53.183408,europe
,denver,front range,,deer mountain,estes park,walk up,United States,,"apr, may, jun, jul, aug, sep, oct",1806,3052.0,10013 ft/3052 m,,colorado,-105.583,,10013.0,40.3667,north america
alberta/british columbia,calgary international airport,canadian rockies,1919.0,"sir douglas, mount",canmore,technical climb,Canada,,,3108,3411.0,11191 ft/3411 m,j.w.a. hickson and edward feuz jr,,-115.339,,11191.0,50.7222,north america
alberta,calgary international airport,canadian rockies,1913.0,"chephren, mount",jasper,scramble,Canada,,"jul, aug, sep",3109,3274.0,10741 ft/3274 m,"j.w.a. hickson, e. feuz jr.",,-116.681671,,10741.0,51.840126,north america
alberta,calgary international airport,canadian rockies,1954.0,"brock, mount",calgary/canmore,,Canada,,"jun, jul, aug, sep",3104,2902.0,9521 ft/2902 m,"p.j.b. duffy, k. ingold (caj 38-86)",,-115.082,,9521.0,50.7367,north america
alberta,calgary international airport,canadian rockies,1954.0,"packenham, mount",calgary/canmore,technical climb,Canada,,"jun, jul, aug, sep",3105,3000.0,9843 ft/3000 m,"n. gish, m. dixon, p. rainier, s.g. pearson (caj 68-65)",,-115.092,,9843.0,50.7533,north america
alberta,calgary international airport,canadian rockies,1960.0,elpoca mountain,calgary/canmore,,Canada,,"jun, jul, aug, sep",3106,3036.0,9961 ft/3036 m,"g. d. elliot, h, kirby, p.s. scribens",,-115.027,,9961.0,50.665,north america
,munich,bavarian alps,,wendelstein,bayrischzell,walk up,Germany,,"may, jun, jul, aug, sep, oct, nov",637,1838.0,6030 ft/1838 m,,,12.0,,6030.0,47.7,europe
,mellville hall airport,,,mount diablotin,roseau,scramble,Dominica,,"mar, apr, may, jun, jul, aug",3100,1447.0,4747 ft/1447 m,,,-61.3861,dormant,4747.0,15.459,north america
,seattle-tacoma,cascade range,,white chuck,darrington,technical climb,United States,,"jul, aug, sep",3101,2130.0,6989 ft/2130 m,"thomas gerdine, sam strom, albert sylvester",washington,-121.417036,,6989.0,48.208545,north america
,lamar airport,,,two buttes mountain,"lamar, colorado",walk up,United States,,"apr, may, jun, jul, aug, sep, oct",3102,1434.0,4705 ft/1434 m,,colorado,-102.401,extinct,4705.0,37.5555,north america
alberta,calgary international airport,canadian rockies,1955.0,"blane, mount",calgary/canmore,technical climb,Canada,,"jun, jul, aug, sep",3103,2993.0,9820 ft/2993 m,"p.j.b. duffy, g. hohnson, d. kennedy, f. koch (caj 39-88)",,-115.073,,9820.0,50.7267,north america
,kangerlussuaq,,,pingo,kangerlussuaq,walk up,Greenland,,"jun, jul, aug",1447,1303.0,4275 ft/1303 m,na,,,,4275.0,,europe
,lhasa,,,sepu kangri,diru (biru),major mountain expedition,China,,"apr, may, aug, sep, oct",1110,6995.0,22949 ft/6995 m,,,94.3,,22949.0,31.5167,asia
,verona,ortler alps,,vioz,trento,walk up,Italy,,"jun, jul, aug, sep",1113,3645.0,11959 ft/3645 m,,,,,11959.0,,europe
,innsbruck,,,augstenberg,galt�r,basic snow/ice climb,Austria,,"mar, apr, may, jun, jul, aug, sep",1112,3228.0,10590 ft/3228 m,,,10.2,,10590.0,46.8667,europe
alberta,calgary international,canadian rockies,,"lady macdonald, mount",canmore,scramble,Canada,,,1443,2605.0,8546 ft/2605 m,,,-115.317,,8546.0,51.1167,north america
,"fort-du-france,",,,mont pelee,"le morne rouge, martinique",scramble,,,"jan, mar, apr, dec",1114,1397.0,4583 ft/1397 m,,,-61.1667,active,4583.0,14.8,north america
,valencia,sistema iberico,,penyagolosa,castellon,walk up,Spain,,"jan, feb, mar, apr, may, jun, sep, oct, nov, dec",1117,1813.0,5948 ft/1813 m,,,-0.363579,,5948.0,40.237212,europe
alberta/british columbia,calgary,canadian rockies,1903.0,deltaform,lake louise,scramble,Canada,,"jul, aug, sep",1440,3424.0,11233 ft/3424 m,"eggers,parker,kaufmann,kaufmann",,-116.245737,,11233.0,51.301428,north america
,innsbruck,otztal alps,,schalfkogel,obergurgl,scramble,Austria,,"jun, jul, aug",1119,3546.0,11634 ft/3546 m,,,10.959167,,11634.0,46.801667,europe
,"seattle, wa",cascade range,1956.0,concord tower,"winthrop, wa",technical climb,United States,,"may, jun, jul, aug, sep",1118,2304.0,7560 ft/2304 m,fred beckey and john parrott,washington,-120.657,,7560.0,48.5144,north america
,lvov,,,petros,rahov,walk up,Ukraine,,"jul, aug",3707,2020.0,6627 ft/2020 m,,,24.423,,6627.0,48.172,europe
,reno int'l,great basin ranges,,arc dome,"round mountain, nevada",walk up,United States,,"jun, jul, aug, sep, oct",1506,3589.0,11775 ft/3589 m,,nevada,-117.353056,,11775.0,38.832778,north america
,denver,front range,,james peak,winter park,walk up,United States,,"jun, jul, aug",1351,4052.0,13294 ft/4052 m,,colorado,-105.69,,13294.0,39.8522,north america
,salt lake city,great basin ranges,,ibapah,"wendover, nv",scramble,United States,,,1449,3688.0,12101 ft/3688 m,,utah,-113.919,,12101.0,39.8283,north america
alberta,calgary international,canadian rockies,1947.0,"fable, mount",canmore,scramble,Canada,,,1448,2702.0,8865 ft/2702 m,"hind, parker and tarrant",,-115.226,,8865.0,51.1175,north america
,oslo,,,eggjenibba,byrkjelo,scramble,Norway,,"jul, aug, sep, oct",4093,1338.0,4390 ft/1338 m,,,6.459722,,4390.0,61.731315,europe
,torino,cottian alps,1899.0,udine (punta),crissolo,scramble,Italy,,"jun, jul, aug, sep",4092,3022.0,9915 ft/3022 m,g. morassutti - g. perotti,,7.073245,,9915.0,44.69584,europe
,torino,graian alps,1886.0,nero (monte),"noasca, ceresole reale",technical climb,Italy,,"jul, aug, sep",4091,3422.0,11227 ft/3422 m,a. sibille,,7.358318,,11227.0,45.524665,europe
,regina airport,,2000.0,mattego,moose jaw,walk up,Canada,,jun,1219,72.0,237 ft/72 m,matthew gignac,,,,237.0,,north america
,podgorica,dinaric alps,,sljeme (Šljeme),zabljak,walk up,Serbia and Montenegro,,"may, jun, jul, aug, sep, oct",4097,2455.0,8054 ft/2455 m,,,19.07205,,8054.0,43.11558,europe
,"bolzano, verona, innsbruck",rhaetian alps,1879.0,sesvenna (piz),"malles venosta, merano",basic snow/ice climb,Italy,,"jun, jul, aug, sep",4096,3205.0,10515 ft/3205 m,gustav groger,,10.403005,,10515.0,46.704874,europe
,seatac international airport,cascade range,,poe mountain,"leavenworth, wa",walk up,United States,,"jun, jul, aug, sep, oct",4095,1833.0,6015 ft/1833 m,,washington,-121.062317,,6015.0,47.915927,north america
,bodo,,,helvetestinden,"reine, svolvaer",walk up,Norway,,"jul, aug, sep",4094,606.0,1988 ft/606 m,,,12.981367,,1988.0,67.981279,europe
,venice (marco polo),,,terza grande,campolongo di cadore,scramble,Italy,,"may, jun, jul, aug, sep, oct",2401,2586.0,8484 ft/2586 m,,,,,8484.0,,europe
,podgorica,dinaric alps,,minin bogaz,zabljak,scramble,Serbia and Montenegro,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4099,2387.0,7831 ft/2387 m,,,19.04454,,7831.0,43.12448,europe
,podgorica,dinaric alps,,savin kuk,zabljak,walk up,Serbia and Montenegro,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4098,2313.0,7589 ft/2313 m,,,19.08136,,7589.0,43.12229,europe
,cape town international,,,groot-winterhoek peak,porterville,scramble,South Africa,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",1356,2078.0,6818 ft/2078 m,,,,,6818.0,,africa
,colorado springs,sangre de cristo range,1875.0,"lindsey, mount",gardner,scramble,United States,,"jun, jul, aug, sep",463,4280.0,14042 ft/4280 m,wheeler survey,colorado,-105.44,,14042.0,37.5847,north america
,innsbruck,,,birkkarspitze,scharnitz,walk up,Austria,,"jul, aug, sep",489,2749.0,9019 ft/2749 m,,,11.437778,,9019.0,47.411111,europe
,"ancona, rome, florence",,,monte nerone,"ancona, pesaro, urbino",walk up,Italy,,"jan, feb, apr, may, jun, jul, aug, sep, oct, nov, dec",488,1525.0,5003 ft/1525 m,,,12.519156,,5003.0,43.557774,europe
,seattle,,,coleman peak,winthrop,scramble,Austria,,"jun, jul, aug, sep, oct",487,2344.0,7690 ft/2344 m,,,,,7690.0,,europe
,colorado springs,sangre de cristo range,1888.0,little bear peak,walsenburg,scramble,United States,,"jul, aug, sep",486,4279.0,14037 ft/4279 m,charles fay & j.r. edmands,colorado,-105.497,,14037.0,37.5667,north america
,delhi,garhwal himalaya,1979.0,thalay sagar,uttarkashi,major mountain expedition,India,,"apr, may, jun",485,6904.0,22651 ft/6904 m,"roy kligfield, pete thexton, john thackray",,78.995849,,22651.0,30.859861,asia
,islamabad,karakoram ,,angel,gilgit,technical climb,Pakistan,,"jun, jul, aug",1354,6858.0,22500 ft/6858 m,,,,,22500.0,,asia
,seattle,cascade range,,doughgob,leavenworth,walk up,United States,,"may, jun, jul, aug, sep, oct",483,1881.0,6172 ft/1881 m,,washington,-120.992281,,6172.0,47.700608,north america
,seattle,cascade range,,snowgrass,leavenworth,scramble,United States,,"may, jun, jul, aug, sep, oct",482,2436.0,7993 ft/2436 m,,washington,-120.935,,7993.0,47.6839,north america
,grenoble or lyon (gap being closer yet a minor one),dauphine alps,1873.0,montagne des agneaux,ailefroide near briancon,basic snow/ice climb,France,,"jul, aug",481,3664.0,12021 ft/3664 m,"w.a.b. coolidge, christian almer, christian roth",,6.41667,,12021.0,44.95,europe
,seattle,cascade range,,cape horn,leavenworth,walk up,United States,,"jun, jul, aug, sep",480,2321.0,7616 ft/2321 m,,washington,-120.917881,,7616.0,47.657138,north america
,,,,"neel roofthooft, mt",,scramble,Antarctica,,"jan, feb, nov, dec",4586,1817.0,5961 ft/1817 m,,,23.1167,,5961.0,-72.0331,antarctica
,billings,teton range - yellowstone area,,electric peak,gardiner,scramble,United States,,"jun, jul, aug, sep",451,3350.0,10992 ft/3350 m,,montana,-110.837,,10992.0,45.0053,north america
,islamabad/gilgit,karakoram ,1986.0,kuk sar peak  passu batura,passu,technical climb,Pakistan,,"jun, jul, aug, sep",2058,6700.0,21981 ft/6700 m,atalian,,,,21981.0,,asia
,geneva,pennine alps,,obergabelhorn,zermatt,technical climb,Switzerland,,"jun, jul, aug",597,4063.0,13330 ft/4063 m,,,7.667778,,13330.0,46.038333,europe
alberta,calgary,canadian rockies,,"st. piran, mount",banff,walk up,Canada,,"jun, jul, aug, sep",3705,2649.0,8691 ft/2649 m,,,-116.253033,,8691.0,51.421316,north america
,kathmandu,central nepal himalaya,,tsergo ri,kyanjin gompa,walk up,Nepal,,"may, oct, nov",695,5000.0,16404 ft/5000 m,,,,,16404.0,,asia
,"simón bolívar, maiquetía",coastal venezuela,,topo la bandera,altagracia de orituco,walk up,Venezuela,,"jan, oct, nov, dec",3922,1428.0,4685 ft/1428 m,n/a,,-66.358237,,4685.0,9.989899,south america
,phoenix,,,"baldy, mount","whiteriver, az",walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3923,3476.0,11403 ft/3476 m,,arizona,-109.562659,,11403.0,33.906005,north america
,simón bolívar. maiquetía,coastal venezuela,,cerro el onoto,altagracia de orituco,walk up,Venezuela,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3920,905.0,2969 ft/905 m,n/a,,-66.429734,,2969.0,9.954395,south america
,"simón bolívar, maiquetía",coastal venezuela,,cerro santa inés,altagracia de orituco,walk up,Venezuela,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3921,1260.0,4134 ft/1260 m,n/a,,-66.394672,,4134.0,9.974472,south america
,liverpool,snowdonia,,moel siabod,betws-y-coed,walk up,United Kingdom,,"mar, apr, may, jun, jul, aug, sep, oct",3926,872.0,2861 ft/872 m,,,-3.934388,,2861.0,53.074061,europe
,liverpool,snowdonia,,moel hebog,beddgelert,,United Kingdom,,"mar, apr, may, jun, jul, aug, sep, oct",3927,782.0,2566 ft/782 m,,,-4.139722,extinct,2566.0,53.000278,europe
,phoenix or alburquerque,,,escudilla mountain,"eager, az",walk up,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3924,3326.0,10912 ft/3326 m,,arizona,-109.125438,,10912.0,33.955357,north america
,"denver, colorado",front range,,"sanitas, mount","boulder, colorado",scramble,United States,,"apr, may, jun, jul, aug, sep",3925,2092.0,6863 ft/2092 m,,colorado,-105.306,,6863.0,40.036,north america
,"fresno, ca",sierra nevada,,tenaya peak,yosemite national park,scramble,United States,,"may, jun, jul, aug, sep, oct, nov",3928,3133.0,10280 ft/3133 m,,california,-119.443402,,10280.0,37.828701,north america
,dubrovnik,,,sventi ilija,orebic,walk up,Croatia,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4681,961.0,3152 ft/961 m,,,17.15863,,3152.0,42.9962,europe
,,,2010.0,mariën peak,,technical climb,Antarctica,,"jan, nov, dec",4149,1832.0,6010 ft/1832 m,sanne bosteels,,24.57225,,6010.0,-71.87742,antarctica
,,,2010.0,"de backer, mt",,basic snow/ice climb,Antarctica,,"jan, nov, dec",4148,1696.0,5564 ft/1696 m,sanne bosteels,,24.69186,,5564.0,-71.84597,antarctica
,geneve,pennine alps,,jegihorn,visp,scramble,Switzerland,,"jun, jul, aug, sep",4145,3206.0,10518 ft/3206 m,,,7.96998,,10518.0,46.15139,europe
,geneve,pennine alps,,la sale,sion,technical climb,Switzerland,,"jul, aug, sep",4144,3646.0,11962 ft/3646 m,,,7.37221,,11962.0,46.02313,europe
,,,,"houttequiet, mt",,basic snow/ice climb,Antarctica,,"jan, nov, dec",4147,1798.0,5899 ft/1798 m,,,24.69103,,5899.0,-71.86266,antarctica
,,,2010.0,joris peak,,basic snow/ice climb,Antarctica,,"jan, nov, dec",4146,2120.0,6955 ft/2120 m,sanne bosteels,,23.2608,,6955.0,-72.11234,antarctica
,jumla or dunai,western nepal himalaya,1976.0,kanjiroba,kathmandu,basic snow/ice climb,Nepal,,"apr, may, oct, nov",4141,6883.0,22582 ft/6883 m,dick isherwood,,82.778549,,22582.0,29.368114,asia
,geneve,pennine alps,,la luette,"sion, arolla",walk up,Switzerland,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4140,3548.0,11640 ft/3548 m,,,7.38775,,11640.0,46.0102,europe
,geneve,pennine alps,,mont fort,verbier,scramble,Switzerland,,"jul, aug, sep",4143,3328.0,10919 ft/3328 m,,,7.318889,,10919.0,46.080278,europe
,geneve,pennine alps,,le pleureur,sion,basic snow/ice climb,Switzerland,,"jul, aug, sep, oct",4142,3703.0,12149 ft/3703 m,,,7.370192,,12149.0,46.015494,europe
,tel aviv,,,"meron, har",tel aviv,walk up,Israel,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3856,1208.0,3963 ft/1208 m,,,35.411682,,3963.0,32.99945,asia
,"guatemala, city",guatemala ranges,,volcan tecuamburro,pueblo nuevo viñas,walk up,Guatemala,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3857,1950.0,6398 ft/1950 m,,,-90.4333,,6398.0,14.2,north america
,,dinaric alps,,sv. jure,makarska,walk up,Croatia,,,3854,1762.0,5781 ft/1762 m,,,17.053957,,5781.0,43.341847,europe
,brisbane,south queensland great dividing range,,"superbus, mount",boonah,walk up,Australia,,"mar, apr, may, aug, sep",3855,1375.0,4511 ft/1375 m,,,152.460666,,4511.0,-28.218367,australia/oceania
